Product ID,Failure Type
M14860,No Failure
L47181,No Failure
L47182,No Failure
L47183,No Failure
L47184,No Failure
M14865,No Failure
L47186,No Failure
L47187,No Failure
M14868,No Failure
M14869,No Failure
H29424,No Failure
H29425,No Failure
M14872,No Failure
M14873,No Failure
L47194,No Failure
L47195,No Failure
M14876,No Failure
M14877,No Failure
H29432,No Failure
M14879,No Failure
H29434,No Failure
L47201,No Failure
M14882,No Failure
L47203,No Failure
M14884,No Failure
L47205,No Failure
L47206,No Failure
H29441,No Failure
L47208,No Failure
L47209,No Failure
M14890,No Failure
L47211,No Failure
L47212,No Failure
L47213,No Failure
M14894,No Failure
M14895,No Failure
M14896,No Failure
L47217,No Failure
H29452,No Failure
L47219,No Failure
L47220,No Failure
L47221,No Failure
M14902,No Failure
H29457,No Failure
M14904,No Failure
L47225,No Failure
M14906,No Failure
L47227,No Failure
H29462,No Failure
M14909,No Failure
L47230,Power Failure
L47231,No Failure
H29466,No Failure
L47233,No Failure
L47234,No Failure
L47235,No Failure
L47236,No Failure
L47237,No Failure
M14918,No Failure
L47239,No Failure
L47240,No Failure
M14921,No Failure
L47242,No Failure
M14923,No Failure
L47244,No Failure
L47245,No Failure
M14926,No Failure
H29481,No Failure
L47248,No Failure
L47249,Power Failure
M14930,No Failure
L47251,No Failure
L47252,No Failure
L47253,No Failure
L47254,No Failure
L47255,No Failure
L47256,No Failure
L47257,Tool Wear Failure
L47258,No Failure
L47259,No Failure
H29494,No Failure
L47261,No Failure
L47262,No Failure
L47263,No Failure
L47264,No Failure
M14945,No Failure
H29500,No Failure
L47267,No Failure
M14948,No Failure
M14949,No Failure
L47270,No Failure
L47271,No Failure
M14952,No Failure
L47273,No Failure
L47274,No Failure
M14955,No Failure
M14956,No Failure
M14957,No Failure
L47278,No Failure
L47279,No Failure
L47280,No Failure
L47281,No Failure
L47282,No Failure
M14963,No Failure
L47284,No Failure
L47285,No Failure
L47286,No Failure
M14967,No Failure
H29522,No Failure
L47289,No Failure
L47290,No Failure
H29525,No Failure
M14972,No Failure
M14973,No Failure
L47294,No Failure
L47295,No Failure
L47296,No Failure
L47297,No Failure
M14978,No Failure
L47299,No Failure
L47300,No Failure
L47301,No Failure
L47302,No Failure
L47303,No Failure
L47304,No Failure
L47305,No Failure
L47306,No Failure
L47307,No Failure
L47308,No Failure
L47309,No Failure
L47310,No Failure
L47311,No Failure
M14992,No Failure
M14993,No Failure
L47314,No Failure
M14995,No Failure
H29550,No Failure
L47317,No Failure
H29552,No Failure
L47319,No Failure
L47320,No Failure
L47321,No Failure
M15002,No Failure
H29557,No Failure
M15004,No Failure
L47325,No Failure
H29560,No Failure
L47327,No Failure
M15008,No Failure
L47329,No Failure
L47330,No Failure
M15011,No Failure
M15012,No Failure
L47333,No Failure
L47334,No Failure
H29569,No Failure
M15016,No Failure
H29571,No Failure
M15018,No Failure
L47339,No Failure
L47340,Overstrain Failure
L47341,Overstrain Failure
L47342,No Failure
M15023,No Failure
M15024,No Failure
L47345,No Failure
H29580,No Failure
H29581,No Failure
L47348,Power Failure
L47349,No Failure
M15030,No Failure
L47351,No Failure
M15032,No Failure
M15033,No Failure
L47354,No Failure
L47355,No Failure
L47356,No Failure
L47357,No Failure
L47358,No Failure
L47359,No Failure
L47360,No Failure
H29595,No Failure
M15042,No Failure
L47363,No Failure
L47364,No Failure
L47365,No Failure
L47366,No Failure
L47367,No Failure
L47368,No Failure
M15049,No Failure
L47370,No Failure
L47371,No Failure
H29606,No Failure
H29607,No Failure
M15054,Power Failure
L47375,No Failure
H29610,No Failure
M15057,No Failure
L47378,No Failure
L47379,No Failure
L47380,No Failure
L47381,No Failure
M15062,No Failure
L47383,No Failure
L47384,No Failure
M15065,No Failure
L47386,No Failure
M15067,Power Failure
L47388,No Failure
L47389,No Failure
L47390,No Failure
L47391,No Failure
H29626,No Failure
L47393,No Failure
M15074,No Failure
L47395,No Failure
L47396,No Failure
L47397,No Failure
L47398,No Failure
